timestamp,side,quantity,arrival_mid,execution_price,spread_bps,volatility_bps,participation_rate
2026-01-01T00:00:00Z,buy,1,100,100.03,2,5,0.01
2026-01-01T00:01:00Z,sell,2,101,100.95,3,7,0.02
2026-01-01T00:02:00Z,buy,3,102,102.08,4,9,0.04
2026-01-01T00:03:00Z,sell,5,103,102.88,5,11,0.06
2026-01-01T00:04:00Z,buy,8,104,104.16,6,13,0.08
2026-01-01T00:05:00Z,sell,13,105,104.79,7,15,0.10
2026-01-01T00:06:00Z,buy,4,106,106.10,5,8,0.03
2026-01-01T00:07:00Z,sell,7,107,106.85,6,12,0.05
2026-01-01T00:08:00Z,buy,11,108,108.22,8,16,0.09
2026-01-01T00:09:00Z,sell,6,109,108.87,4,10,0.04
2026-01-01T00:10:00Z,buy,9,110,110.19,7,14,0.07
2026-01-01T00:11:00Z,sell,15,111,110.72,9,18,0.12
2026-01-01T00:12:00Z,buy,2,112,112.05,3,6,0.02
2026-01-01T00:13:00Z,sell,10,113,112.78,8,17,0.11
2026-01-01T00:14:00Z,buy,12,114,114.25,8,15,0.10
2026-01-01T00:15:00Z,sell,3,115,114.92,4,8,0.03
2026-01-01T00:16:00Z,buy,14,116,116.31,10,20,0.14
2026-01-01T00:17:00Z,sell,5,117,116.86,5,11,0.05
2026-01-01T00:18:00Z,buy,7,118,118.17,6,13,0.07
2026-01-01T00:19:00Z,sell,16,119,118.63,11,22,0.16
